Texto,X_Inicio,Y_Tope,Y_Fondo,Confianza_OCR
NINHAOO,3029,332,486,58
~-,3037,505,514,52
UNGNIW,3030,531,675,73
Un.,1249,540,578,95
SUB-CAPITULO,435,542,572,92
ACTIVIDAD,879,542,572,96
MECANISMO,1447,542,572,91
DE,1426,592,621,91
EJECUCION,1482,592,621,89
Excavacidn,405,656,681,86
Banqueos,831,656,690,92
|1:,360,657,681,87
Tractores,1421,657,682,91
1:,791,658,682,93
1:,1378,658,682,87
y,997,663,690,92
carga,1026,663,689,96
y,1587,663,689,91
car,1623,663,680,92
-,1690,670,675,92
m3,1247,704,732,95
de,835,706,732,96
material,890,706,732,96
gador,1422,706,739,91
Tractores,1419,755,782,91
2:,1375,757,782,93
con,1583,763,782,96
es,1656,763,782,92
-,1710,769,773,92
-,3037,778,787,84
76,3029,804,836,75
Préstamo,834,805,830,88
carificador,1423,805,830,91
2:,788,806,830,88
y,997,812,838,89
carga,1030,812,838,96
y,1599,812,837,92
car,1633,812,830,93
-,1699,818,822,93
m3,1246,851,878,91
material,889,853,879,96
gador,1410,853,886,92
de,834,854,878,95
Mototraiiia,1423,903,928,77
3:,1374,904,928,93
con,1602,909,928,96
de,1537,951,976,93
empuje,1591,951,984,92
tractor,1421,953,977,96
"Explosivos,equipo",1424,1000,1033,91
4:,1373,1001,1025,93
de,1415,1049,1073,89
tractores,1424,1101,1124,91
carga-,1611,1104,1132,91
y,1577,1105,1132,91
tierras,1013,1198,1224,89
3:,786,1199,1224,93
desechables,838,1248,1273,91
Construccién,405,1639,1665,46
Material,840,1639,1665,92
suminis-,992,1639,1665,91
2:,353,1640,1665,93
terra-j1:,685,1640,1666,55
en,629,1646,1665,93
camiones,974,1692,1720,89
trado,826,1693,1720,91
en,921,1700,1720,89
Material,840,1743,1769,92
suminis-,992,1743,1769,91
2:,785,1745,1769,96
trado,825,1792,1818,90
moto-,1001,1794,1818,88
en,934,1798,1818,88
traillas,826,1841,1866,89
Construccién,405,1941,1968,80
3:,351,1942,1966,93
compactado,402,1992,2027,91
con,599,1997,2016,96
paso,665,1997,2023,96
de,400,2039,2064,96
maquina,450,2040,2065,90
Suelo,396,2087,2112,92
4:,350,2088,2112,96
armado,499,2088,2113,88
69,3033,2093,2151,96
5:,351,2135,2158,93
Muros,396,2135,2158,90
de,503,2135,2158,92
gaviones,558,2135,2159,89
